784 854 480
98 261 -1 1
99 261 -1 1
100 261 -1 1
101 261 -1 1
102 261 -1 1
103 261 -1 1
104 261 -1 1
105 261 -1 1
106 261 -1 1
107 261 -1 1
108 261 -1 1
109 261 -1 1
96 262 -1 1
97 262 -1 1
98 262 -1 1
99 262 -1 1
100 262 -1 1
101 262 -1 1
102 262 -1 1
103 262 -1 1
104 262 -1 1
105 262 -1 1
106 262 -1 1
107 262 -1 1
108 262 -1 1
109 262 -1 1
110 262 -1 1
95 263 -1 1
96 263 -1 1
97 263 -1 1
98 263 -1 1
99 263 -1 1
100 263 -1 1
101 263 -1 1
102 263 -1 1
103 263 -1 1
104 263 -1 1
105 263 -1 1
106 263 -1 1
107 263 -1 1
108 263 -1 1
109 263 -1 1
110 263 -1 1
111 263 -1 1
112 263 -1 1
113 263 -1 1
114 263 -1 1
94 264 -1 1
95 264 -1 1
96 264 -1 1
97 264 -1 1
98 264 -1 1
99 264 -1 1
100 264 -1 1
101 264 -1 1
102 264 -1 1
103 264 -1 1
104 264 -1 1
105 264 -1 1
106 264 -1 1
107 264 -1 1
108 264 -1 1
109 264 -1 1
110 264 -1 1
111 264 -1 1
112 264 -1 1
113 264 -1 1
114 264 -1 1
115 264 -1 1
93 265 -1 1
94 265 -1 1
95 265 -1 1
96 265 -1 1
97 265 -1 1
98 265 -1 1
99 265 -1 1
100 265 -1 1
101 265 -1 1
102 265 -1 1
103 265 -1 1
104 265 -1 1
105 265 -1 1
106 265 -1 1
107 265 -1 1
108 265 -1 1
109 265 -1 1
110 265 -1 1
111 265 -1 1
112 265 -1 1
113 265 -1 1
114 265 -1 1
115 265 -1 1
93 266 -1 1
94 266 -1 1
95 266 -1 1
96 266 -1 1
97 266 -1 1
98 266 -1 1
99 266 -1 1
108 266 -1 1
109 266 -1 1
110 266 -1 1
111 266 -1 1
112 266 -1 1
113 266 -1 1
114 266 -1 1
115 266 -1 1
93 267 -1 1
94 267 -1 1
95 267 -1 1
96 267 -1 1
97 267 -1 1
98 267 -1 1
109 267 -1 1
110 267 -1 1
111 267 -1 1
112 267 -1 1
113 267 -1 1
114 267 -1 1
93 268 -1 1
94 268 -1 1
95 268 -1 1
96 268 -1 1
97 268 -1 1
98 268 -1 1
93 269 -1 1
94 269 -1 1
95 269 -1 1
96 269 -1 1
97 269 -1 1
98 269 -1 1
99 269 -1 1
94 270 -1 1
95 270 -1 1
96 270 -1 1
97 270 -1 1
98 270 -1 1
99 270 -1 1
95 271 -1 1
96 271 -1 1
97 271 -1 1
98 271 -1 1
99 271 -1 1
95 272 -1 1
96 272 -1 1
97 272 -1 1
98 272 -1 1
99 272 -1 1
100 272 -1 1
95 273 -1 1
96 273 -1 1
97 273 -1 1
98 273 -1 1
99 273 -1 1
100 273 -1 1
101 273 -1 1
96 274 -1 1
97 274 -1 1
98 274 -1 1
99 274 -1 1
100 274 -1 1
101 274 -1 1
102 274 -1 1
96 275 -1 1
97 275 -1 1
98 275 -1 1
99 275 -1 1
100 275 -1 1
101 275 -1 1
102 275 -1 1
103 275 -1 1
97 276 -1 1
98 276 -1 1
99 276 -1 1
100 276 -1 1
101 276 -1 1
102 276 -1 1
103 276 -1 1
104 276 -1 1
99 277 -1 1
100 277 -1 1
101 277 -1 1
102 277 -1 1
103 277 -1 1
104 277 -1 1
100 278 -1 1
101 278 -1 1
102 278 -1 1
103 278 -1 1
104 278 -1 1
105 278 -1 1
106 278 -1 1
100 279 -1 1
101 279 -1 1
102 279 -1 1
103 279 -1 1
104 279 -1 1
105 279 -1 1
106 279 -1 1
107 279 -1 1
101 280 -1 1
102 280 -1 1
103 280 -1 1
104 280 -1 1
105 280 -1 1
106 280 -1 1
107 280 -1 1
102 281 -1 1
103 281 -1 1
104 281 -1 1
105 281 -1 1
106 281 -1 1
107 281 -1 1
103 282 -1 1
104 282 -1 1
105 282 -1 1
106 282 -1 1
107 282 -1 1
103 283 -1 1
104 283 -1 1
105 283 -1 1
106 283 -1 1
107 283 -1 1
103 284 -1 1
104 284 -1 1
105 284 -1 1
106 284 -1 1
107 284 -1 1
103 285 -1 1
104 285 -1 1
105 285 -1 1
106 285 -1 1
107 285 -1 1
103 286 -1 1
104 286 -1 1
105 286 -1 1
106 286 -1 1
107 286 -1 1
108 286 -1 1
103 287 -1 1
104 287 -1 1
105 287 -1 1
106 287 -1 1
107 287 -1 1
108 287 -1 1
109 287 -1 1
103 288 -1 1
104 288 -1 1
105 288 -1 1
106 288 -1 1
107 288 -1 1
108 288 -1 1
109 288 -1 1
104 289 -1 1
105 289 -1 1
106 289 -1 1
107 289 -1 1
108 289 -1 1
109 289 -1 1
105 290 -1 1
106 290 -1 1
107 290 -1 1
108 290 -1 1
109 290 -1 1
105 291 -1 1
106 291 -1 1
107 291 -1 1
108 291 -1 1
109 291 -1 1
105 292 -1 1
106 292 -1 1
107 292 -1 1
108 292 -1 1
109 292 -1 1
105 293 -1 1
106 293 -1 1
107 293 -1 1
108 293 -1 1
109 293 -1 1
105 294 -1 1
106 294 -1 1
107 294 -1 1
108 294 -1 1
109 294 -1 1
105 295 -1 1
106 295 -1 1
107 295 -1 1
108 295 -1 1
109 295 -1 1
105 296 -1 1
106 296 -1 1
107 296 -1 1
108 296 -1 1
109 296 -1 1
110 296 -1 1
105 297 -1 1
106 297 -1 1
107 297 -1 1
108 297 -1 1
109 297 -1 1
110 297 -1 1
106 298 -1 1
107 298 -1 1
108 298 -1 1
109 298 -1 1
110 298 -1 1
111 298 -1 1
106 299 -1 1
107 299 -1 1
108 299 -1 1
109 299 -1 1
110 299 -1 1
111 299 -1 1
107 300 -1 1
108 300 -1 1
109 300 -1 1
110 300 -1 1
111 300 -1 1
107 301 -1 1
108 301 -1 1
109 301 -1 1
110 301 -1 1
111 301 -1 1
107 302 -1 1
108 302 -1 1
109 302 -1 1
110 302 -1 1
111 302 -1 1
107 303 -1 1
108 303 -1 1
109 303 -1 1
110 303 -1 1
